line,station,distance_from_start
Airport Express,New Delhi-Airport Express,0.0
Airport Express,Shivaji Stadium,1.9
Airport Express,Dhaula Kuan,8.3
Airport Express,Delhi Aerocity,14.5
Airport Express,IGI Airport,17.9
Airport Express,Dwarka Sector 21,20.8
