line,station,distance_from_start
Rapid Metro,Sector 55-66,0.0
Rapid Metro,Sector 54 Chowk,1.1
Rapid Metro,Sector 53-54,2.6
Rapid Metro,Sector 42-43,3.9
Rapid Metro,DLF Phase 1,5.5
Rapid Metro,Sikandarpur,6.6
Rapid Metro,DLF Phase 2,7.3
Rapid Metro,Belvedere Towers,8.0
Rapid Metro,Cyber City,8.6
Rapid Metro,Moulsari Avenue,9.2
Rapid Metro,DLF Phase 3,10.0
